NomEtablissement;VilleEtablissement;RacineAnalytiqueEtablissement;CodeEtablissement;NomSalle;TailleSalle;CodeSalle
Etablissement d'Angoulême;La Couronne;AM;3;Fac de Droit 4;;238
Etablissement d'Angoulême;La Couronne;AM;3;Amphi Jean Monnet;300;444
Etablissement d'Angoulême;La Couronne;AM;3;Amphi IFSI 1;120;445
Etablissement d'Angoulême;La Couronne;AM;3;Amphi 300;;424
Etablissement d'Angoulême;La Couronne;AM;3;Pépinière d'Entreprise;80;583
Etablissement d'Angoulême;La Couronne;AM;3;Amphi IFSI 2;;701
Etablissement d'Angoulême;La Couronne;AM;3;IFSI 1;;702
Etablissement d'Angoulême;La Couronne;AM;3;IFSI 2;;703
Etablissement d'Angoulême;La Couronne;AM;3;IFSI 3;;704
Etablissement d'Angoulême;La Couronne;AM;3;Fac de Droit 1;;705
Etablissement d'Angoulême;La Couronne;AM;3;Fac de Droit 2;;706
Etablissement d'Angoulême;La Couronne;AM;3;Fac de Droit 3;;707
Etablissement d'Angoulême;La Couronne;AM;3;Amphi ESMEIN;;708
Etablissement d'Angoulême;La Couronne;AM;3;A 101;34;831
Etablissement d'Angoulême;La Couronne;AM;3;A 102;34;832
Etablissement d'Angoulême;La Couronne;AM;3;A 103;34;833
Etablissement d'Angoulême;La Couronne;AM;3;A 104;34;834
Etablissement d'Angoulême;La Couronne;AM;3;A 105;34;835
Etablissement d'Angoulême;La Couronne;AM;3;A 106;34;836
Etablissement d'Angoulême;La Couronne;AM;3;A 107;34;837
Etablissement d'Angoulême;La Couronne;AM;3;A 108;34;838
Etablissement d'Angoulême;La Couronne;AM;3;A 109;34;839
Etablissement d'Angoulême;La Couronne;AM;3;A 110;34;840
Etablissement d'Angoulême;La Couronne;AM;3;A 111;34;841
Etablissement d'Angoulême;La Couronne;AM;3;Laboratoire Informatique;24;842
Etablissement d'Angoulême;La Couronne;AM;3;A 113;34;843
Etablissement d'Angoulême;La Couronne;AM;3;A Salle de conférence;100;844
Etablissement d'Angoulême;La Couronne;AM;3;A Salle de Réunion;25;845
Etablissement d'Angoulême;La Couronne;AM;3;A 201;20;846
Etablissement d'Angoulême;La Couronne;AM;3;A 202;20;847
Etablissement d'Angoulême;La Couronne;AM;3;A 203;20;848
Etablissement d'Angoulême;La Couronne;AM;3;Bureau CPTEI/International;20;849
Etablissement d'Angoulême;La Couronne;AM;3;A 205;20;850
Etablissement d'Angoulême;La Couronne;AM;3;A 206;20;851
Etablissement d'Angoulême;La Couronne;AM;3;A 207;20;852
Etablissement d'Angoulême;La Couronne;AM;3;A 208;20;853
Etablissement d'Angoulême;La Couronne;AM;3;FAB'LAB 1;20;854
Etablissement d'Angoulême;La Couronne;AM;3;Salle projets;20;855
Etablissement d'Angoulême;La Couronne;AM;3;A 211;20;856
Etablissement d'Angoulême;La Couronne;AM;3;A 212;50;857
Etablissement d'Angoulême;La Couronne;AM;3;A 213;50;858
Etablissement d'Angoulême;La Couronne;AM;3;Salle informatique;32;859
Etablissement d'Angoulême;La Couronne;AM;3;A 215;50;860
Etablissement d'Angoulême;La Couronne;AM;3;CIFOP;30;787
